year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,24.412495,01-01-1998 00:00,-1.4779968,1.0781178,1.8299792,323.8196,950.4343,650.0333,0.37022412,296.71204,288.8542,61.369434,3.868443,0.000216343,0.005162016
1998,2,,,,,20.432323,01-02-1998 00:00,-0.6022396,0.47770202,0.77422476,321.99997,949.8466,791.1316,0.3007285,298.375,287.07343,49.518127,4.6333227,0.000106693,0.005225733
1998,3,,,,,17.931093,01-03-1998 00:00,-1.0023937,1.0914094,1.4825473,312.4726,947.8292,923.9362,0.216308,301.9037,289.27454,46.367073,5.0720544,4.60E-05,0.005260093
1998,4,,,,,11.199058,01-04-1998 00:00,-0.5486044,1.318326,1.4303387,292.2617,945.9718,994.53394,0.24693462,304.69693,290.17267,41.812027,5.384636,0.000429201,0.005625199
1998,5,,,,,12.882466,01-05-1998 00:00,1.1424599,0.42956054,1.2207421,200.6125,942.77625,930.2886,0.35412186,305.6792,291.46808,42.91226,5.4980073,0.001015108,0.005714982
1998,6,,,,,11.801065,01-06-1998 00:00,3.8180952,0.4216919,3.842448,186.32774,940.47925,980.17926,0.7119359,302.96695,293.5822,57.135384,4.3571835,0.003757644,0.005758028
1998,7,,,,,9.799836,01-07-1998 00:00,3.9811926,0.5754514,4.0238657,188.24416,941.27234,782.6398,0.88299614,299.98053,295.14856,74.85203,3.4144878,0.00773802,0.005753306
1998,8,,,,,8.279885,01-08-1998 00:00,2.9774847,0.40199786,3.0063438,187.74136,942.85345,605.7904,0.9633869,298.94614,295.66534,82.11647,3.4168649,0.005354744,0.005777998
1998,9,,,,,13.892544,01-09-1998 00:00,2.1161852,-0.056488335,2.1176844,178.53592,943.1115,539.12866,0.88793737,298.5421,295.51266,83.33365,3.3167927,0.005688019,0.005743155
1998,10,,,,,23.892052,01-10-1998 00:00,0.5125686,-0.6968657,0.8655942,126.260475,945.4879,481.80115,0.6268859,297.79114,294.11847,80.0253,3.745375,0.003827924,0.005525596
1998,11,,,,,26.770134,01-11-1998 00:00,-1.1659985,-0.9501137,1.5061553,39.250923,948.05963,487.2859,0.35930645,296.04483,290.5041,70.95962,4.062029,0.000669949,0.005136868
1998,12,,,,,30.870544,01-12-1998 00:00,-1.8625288,-0.93991375,2.0912316,26.839283,951.0182,423.27307,0.24446243,292.86298,283.64603,55.265392,4.392326,0,0.0050793
1999,1,,,,,32.746372,01-01-1999 00:00,-1.4595132,0.18574464,1.4721985,352.77258,949.2198,549.73816,0.17153329,294.09286,283.9254,52.178005,4.610328,8.32E-08,0.004978304
1999,2,,,,,24.430603,01-02-1999 00:00,-1.9824924,1.2230635,2.3310673,328.27936,949.9434,817.2927,0.10289943,298.37418,285.9464,46.009106,4.978889,1.50E-05,0.004955217
1999,3,,,,,24.07165,01-03-1999 00:00,-0.6573327,0.6513096,0.9261561,315.2952,944.5643,920.3711,0.1204052,301.76025,285.6605,36.996185,5.4534044,2.86E-05,0.00525918
1999,4,,,,,14.939902,01-04-1999 00:00,0.35104185,0.1928187,0.40216404,208.76138,942.9652,1102.6794,0.17721242,305.0965,286.4864,32.244263,5.722149,2.64E-05,0.005565045
1999,5,,,,,15.034412,01-05-1999 00:00,2.2250156,0.50851214,2.2831862,192.86836,941.6448,887.25073,0.5724755,303.4234,292.82605,53.111282,5.184413,0.002115697,0.005792776
1999,6,,,,,10.031668,01-06-1999 00:00,4.8448696,0.19682646,4.85051,182.36899,941.54865,900.57324,0.7574705,300.29724,294.2859,69.694084,4.0523963,0.00281941,0.005833979
1999,7,,,,,7.306923,01-07-1999 00:00,5.023733,0.45419908,5.046327,185.21591,940.8303,884.28564,0.91956747,299.1572,294.54285,75.728806,3.505058,0.003885131,0.005838869
1999,8,,,,,7.8839407,01-08-1999 00:00,4.1306047,-0.40093786,4.1515775,174.5034,942.75635,703.38293,0.90930283,298.35535,294.6767,80.074875,3.0690844,0.005061537,0.005883957
1999,9,,,,,10.601679,01-09-1999 00:00,3.016594,-0.6365637,3.0834882,168.09637,943.5466,616.1111,0.8847405,298.40952,294.61472,79.51346,3.4010844,0.003680654,0.005812374
1999,10,,,,,21.15547,01-10-1999 00:00,-0.9278774,-0.7448823,1.1901493,38.803837,945.72064,519.187,0.59469473,298.4098,292.93704,71.696045,4.2080154,0.002011544,0.005623255
1999,11,,,,,21.8941,01-11-1999 00:00,-1.5810175,-1.6275253,2.2704668,45.830906,949.4071,617.396,0.23701686,296.40854,286.2306,52.75963,4.4677525,2.28E-05,0.005477359
1999,12,,,,,27.906801,01-12-1999 00:00,-1.7519407,-0.6359576,1.8650349,20.00766,950.5885,550.3584,0.12410098,294.0461,284.5001,54.369987,4.2972217,0,0.005312049
2000,1,,,,,26.791521,01-01-2000 00:00,-1.5440168,0.07753293,1.5465573,357.1728,949.4498,614.062,0.06549871,295.92743,284.30963,47.854744,4.5197015,1.92E-06,0.005260039
2000,2,,,,,24.068005,01-02-2000 00:00,-1.242919,1.1032581,1.6622989,318.3162,947.18475,711.16394,0.42097712,297.71628,289.34225,59.603504,4.1482677,0.000840732,0.005415494
2000,3,,,,,31.710281,01-03-2000 00:00,-0.46432948,0.55778605,0.7262578,309.9107,946.12756,968.5447,0.08630651,301.11313,285.41107,37.796906,5.607117,1.80E-06,0.005500674
2000,4,,,,,21.52757,01-04-2000 00:00,0.121147424,0.60769826,0.6248368,258.60345,943.30396,977.85205,0.15313703,304.79166,289.18835,39.05784,5.6626787,0.000181493,0.005808998
2000,5,,,,,17.606676,01-05-2000 00:00,2.4017677,0.23990345,2.4142542,185.73074,942.6623,899.26746,0.5019483,303.51175,292.55795,51.967487,5.247018,0.001905448,0.005891515
2000,6,,,,,14.702704,01-06-2000 00:00,4.0759172,0.10553774,4.078798,181.52069,940.39594,736.24146,0.9382973,299.73892,294.85486,74.57567,3.3622308,0.006310381,0.005840571
2000,7,,,,,12.730684,01-07-2000 00:00,4.7741184,0.10338107,4.7770944,181.28337,940.70593,788.4678,0.9258114,298.85626,294.3307,76.09219,3.474904,0.003198125,0.005840255
2000,8,,,,,10.268579,01-08-2000 00:00,4.021881,-0.088789165,4.024576,178.77673,941.3547,674.105,0.9385154,298.14288,294.69287,81.17471,2.9365969,0.01208543,0.005836711
2000,9,,,,,19.019049,01-09-2000 00:00,1.3020515,-0.3247084,1.3419669,166.00938,944.31226,552.3966,0.70201033,299.11838,294.45367,75.48311,4.4032984,0.00105614,0.005775506
2000,10,,,,,30.64924,01-10-2000 00:00,-0.26467574,-0.49682492,0.5672224,61.730213,945.7186,593.10815,0.5270688,298.9995,291.86603,64.75709,4.4773006,0.001020055,0.005518545
2000,11,,,,,37.680294,01-11-2000 00:00,-1.7654219,0.19827718,1.77678,353.6251,948.6802,598.34644,0.35418493,296.766,288.38687,59.358356,4.36372,8.63E-05,0.005318308
2000,12,,,,,33.96403,01-12-2000 00:00,-1.9693975,-0.5911341,2.0619926,16.84277,950.05676,463.50867,0.15969604,294.008,282.0768,46.3366,4.354716,2.50E-05,0.005188628
2001,1,,,,,36.431705,01-01-2001 00:00,-1.6709843,0.64408547,1.7911642,338.8914,948.89655,590.59985,0.43492264,295.5896,284.7716,50.366848,4.2434187,0.000256236,0.005101836
2001,2,,,,,27.12581,01-02-2001 00:00,-0.69779426,0.6511779,0.95658517,316.64163,947.346,767.76685,0.04209104,299.23328,282.4615,34.69044,5.201322,0,0.005205018
2001,3,,,,,31.255306,01-03-2001 00:00,-0.74931014,1.4412422,1.628901,297.21454,946.0903,917.49585,0.3063131,301.5043,288.01727,43.794064,4.97298,0.000149292,0.005512982
2001,4,,,,,22.452274,01-04-2001 00:00,-0.8229079,1.4010239,1.625994,300.33405,945.29504,1014.64014,0.2683375,303.46118,290.0806,44.61189,5.212475,0.000718334,0.005768896
2001,5,,,,,15.847767,01-05-2001 00:00,2.7516441,-0.28972483,2.7676814,173.98412,941.6921,1154.1927,0.32525516,306.11224,289.3634,36.65387,5.5361776,0.000203572,0.005931398
2001,6,,,,,13.229988,01-06-2001 00:00,4.6536045,0.18887496,4.6586523,182.34561,940.3319,1007.7683,0.95202535,300.7295,293.66733,65.406876,3.7545466,0.003472009,0.005871522
2001,7,,,,,9.19705,01-07-2001 00:00,4.8267727,0.03936088,4.8286815,180.4967,941.4058,970.6835,0.97058195,300.06824,293.82416,68.65782,3.5674703,0.001965648,0.005891517
2001,8,,,,,8.96526,01-08-2001 00:00,4.4812365,-0.6681556,4.531894,171.5431,942.1811,746.5757,0.9542996,298.19098,294.55206,80.24557,2.9286864,0.006416839,0.005891105
2001,9,,,,,20.887547,01-09-2001 00:00,1.2351236,-0.6779424,1.4091728,151.27116,944.0056,410.1104,0.8471189,298.91718,295.22916,80.103165,3.905785,0.006429292,0.005837636
2001,10,,,,,32.65629,01-10-2001 00:00,-0.50193524,-1.0522699,1.1668502,64.48381,945.7197,505.20752,0.62412477,298.0042,292.88193,73.19963,3.8273423,0.00320283,0.005610251
2001,11,,,,,33.398567,01-11-2001 00:00,-1.8566427,-0.96021265,2.0907593,27.397074,948.98865,669.8296,0.367724,297.18695,289.22607,61.073803,4.146401,0.000177606,0.005297531
2001,12,,,,,38.440025,01-12-2001 00:00,-1.9274864,-0.1862638,1.9374115,5.5680323,952.08374,530.5122,0.28987044,294.67688,284.6697,52.889755,4.2187314,1.79E-06,0.005015753
2002,1,,,,,30.755222,01-01-2002 00:00,-1.3834887,0.5517992,1.4898292,338.23343,949.735,569.7269,0.2665794,295.22903,286.23074,56.660717,4.047072,0.000417232,0.004898592
2002,2,,,,,28.963457,01-02-2002 00:00,-2.0654306,1.5216999,2.567121,323.6123,950.5583,817.84155,0.20357603,298.3434,286.2967,47.17517,4.9015903,6.81E-05,0.005202226
2002,3,,,,,34.512455,01-03-2002 00:00,-0.97452736,1.0613778,1.4413112,312.51123,946.73663,1000.9563,0.22755444,302.03748,287.2664,40.438156,5.2785034,4.53E-05,0.005442504
2002,4,,,,,25.292257,01-04-2002 00:00,-0.5269994,1.4547558,1.5506355,289.72385,944.4581,1033.3225,0.20220011,304.9281,290.24033,41.451492,5.2857447,0.000384621,0.005608893
2002,5,,,,,18.459524,01-05-2002 00:00,2.65808,0.10696764,2.6607466,182.31213,941.8769,1045.4207,0.35805428,305.35748,291.5637,43.965126,5.487979,0.000543697,0.00592207
2002,6,,,,,15.3585415,01-06-2002 00:00,4.0973854,0.5763433,4.1393623,188.05539,941.05585,798.2775,0.8709779,300.90704,295.01404,70.31292,3.8653624,0.004831672,0.005854524
2002,7,,,,,11.899877,01-07-2002 00:00,4.656019,-0.680264,4.7064734,171.72739,942.6084,893.2649,0.88575673,300.11215,293.87537,68.70161,3.8414824,0.001729272,0.005800292
2002,8,,,,,10.680828,01-08-2002 00:00,4.6807585,0.19593611,4.686381,182.4327,942.08594,784.41223,0.93233335,298.12946,294.66025,81.078094,2.9263911,0.006851494,0.005827217
2002,9,,,,,20.672102,01-09-2002 00:00,2.548356,-1.0302572,2.7488482,158.00267,944.881,617.0095,0.7581777,299.26767,293.802,71.8914,4.414164,0.002093278,0.005791526
2002,10,,,,,32.719624,01-10-2002 00:00,-1.4218063,-0.31277823,1.4560099,12.36322,946.84326,579.8037,0.66845846,298.56778,291.87466,66.47371,4.1238527,0.002391701,0.00559493
2002,11,,,,,36.17038,01-11-2002 00:00,-1.6604548,-1.1449289,2.0183408,34.619648,949.0562,586.6299,0.3891632,296.11282,285.6423,51.667633,4.373677,0.00013197,0.005343454
2002,12,,,,,38.24404,01-12-2002 00:00,-1.5026016,0.16649109,1.5122559,353.67636,950.58606,588.1212,0.353675,295.5504,285.65808,53.516342,4.160102,2.20E-06,0.005108339
2003,1,,,,,41.533962,01-01-2003 00:00,-1.7580509,0.54925585,1.8420856,342.6337,951.11145,624.7668,0.4709307,295.7259,285.60986,52.777546,4.223157,0.000129335,0.00510176
2003,2,,,,,29.82839,01-02-2003 00:00,-1.6495552,1.6066618,2.304388,315.65994,948.65125,795.99084,0.17250416,299.1873,288.33896,51.20829,4.5594707,3.36E-05,0.005208615
2003,3,,,,,33.328842,01-03-2003 00:00,-0.89394474,1.0746145,1.4006345,309.56158,947.2684,854.2294,0.2439754,301.3705,288.0621,44.24376,5.076495,0.000718604,0.005613106
2003,4,,,,,23.376034,01-04-2003 00:00,-0.45831245,1.1642518,1.251487,291.4422,945.053,1008.2761,0.30059087,304.4076,289.71664,41.289364,5.4704847,0.000598475,0.005823008
2003,5,,,,,21.185007,01-05-2003 00:00,1.2519932,-1.1883345,1.7282276,136.51755,941.9054,1211.7856,0.41203904,307.18024,286.6915,29.06284,5.638199,8.09E-06,0.005993597
2003,6,,,,,12.764851,01-06-2003 00:00,4.0539274,0.53638667,4.091325,187.56421,940.3102,1030.8191,0.82169586,303.4169,292.37964,51.674377,4.2548513,0.002650083,0.005942642
2003,7,,,,,12.354937,01-07-2003 00:00,4.285692,0.4689088,4.313833,186.2901,941.3943,728.7439,0.98500985,299.19098,295.01523,77.790054,2.8066313,0.00767253,0.005839657
2003,8,,,,,9.795657,01-08-2003 00:00,4.1572676,-0.59024215,4.200142,171.95969,942.40704,674.5237,0.9438875,298.6349,294.81207,79.407486,3.0618775,0.006368008,0.005891434
2003,9,,,,,12.168128,01-09-2003 00:00,2.6652718,-0.5993073,2.7322078,167.36093,943.9503,574.1666,0.883415,299.09894,294.57495,76.13692,3.8169022,0.003699989,0.005748025
2003,10,,,,,31.970095,01-10-2003 00:00,-0.41256052,-1.416687,1.4791893,73.75258,946.3022,468.07257,0.6777348,297.9094,293.15833,74.888176,3.9021878,0.004003109,0.005509118
2003,11,,,,,47.082508,01-11-2003 00:00,-1.7420368,0.089651,1.7451057,357.09802,950.3064,468.9126,0.29626584,295.63074,289.65503,68.95198,4.3892384,7.71E-05,0.005287428
2003,12,,,,,38.26657,01-12-2003 00:00,-1.7651491,-0.53473765,1.8459859,16.89487,951.00165,515.44104,0.27991015,293.97458,285.76236,59.338966,4.0019484,0.000100013,0.005112229
2004,1,,,,,36.6374,01-01-2004 00:00,-1.8943682,1.1832314,2.2338784,327.9881,949.6957,578.01636,0.30344963,294.91586,286.80084,59.940273,4.024157,0.000517526,0.004983729
2004,2,,,,,33.519295,01-02-2004 00:00,-1.4911604,0.48288465,1.5675962,342.06085,949.37317,692.38306,0.13407826,297.33496,285.45914,47.419186,4.882099,0.00022615,0.005109925
2004,3,,,,,32.371773,01-03-2004 00:00,-1.0833158,0.9728178,1.4563705,318.07135,946.7999,973.26294,0.12783998,302.2127,286.4617,37.979843,5.5506153,0.000271459,0.00536732
2004,4,,,,,25.317041,01-04-2004 00:00,0.06717127,1.0121261,1.0151645,266.16882,944.47565,904.0051,0.2742049,303.90753,289.9007,42.9935,5.477758,0.000832517,0.00573417
2004,5,,,,,19.595821,01-05-2004 00:00,1.0658302,0.5761806,1.2131007,208.4327,942.16565,812.5193,0.60804856,302.7558,293.00565,55.80743,4.90305,0.002195803,0.005855748
2004,6,,,,,14.200737,01-06-2004 00:00,4.6090097,0.50168854,4.637652,186.22867,941.8061,1042.2969,0.79422516,301.6409,293.11127,59.9224,4.153651,0.002025429,0.005919291
2004,7,,,,,11.228718,01-07-2004 00:00,3.7434072,0.050783753,3.7448204,180.79767,941.29755,697.79645,0.9835551,299.22168,294.48178,75.15158,3.137442,0.007591624,0.005837227
2004,8,,,,,10.77374,01-08-2004 00:00,5.265584,-0.17803943,5.2700024,178.10243,942.1072,894.9834,0.86305404,298.76074,293.7643,73.90407,3.4354515,0.002429372,0.005855986
2004,9,,,,,16.624292,01-09-2004 00:00,1.1492176,-0.268197,1.1801147,166.87476,944.7435,490.1941,0.76084155,298.87128,294.6309,77.43535,3.8425066,0.004622776,0.005837322
2004,10,,,,,32.380295,01-10-2004 00:00,-0.5284695,-0.67695916,0.8600426,52.025894,948.4002,520.3529,0.59048456,297.98682,292.4017,71.11987,4.123393,0.003203818,0.005733255
2004,11,,,,,42.219666,01-11-2004 00:00,-2.2059908,-0.12448913,2.2102752,3.2523313,950.4152,664.71277,0.32972062,297.06107,286.64752,52.102955,4.2408953,0.000211567,0.005491414
2004,12,,,,,44.63298,01-12-2004 00:00,-1.903449,-0.115617454,1.9079443,3.499924,950.4529,535.7544,0.16501385,294.83365,284.51224,51.83692,4.365686,0,0.005295698
2005,1,,,,,36.752274,01-01-2005 00:00,-1.4357996,0.93533206,1.7137245,326.8838,949.46924,611.43646,0.29968417,296.09528,287.33392,57.75228,3.942511,0.001215304,0.005373377
2005,2,,,,,32.78095,01-02-2005 00:00,-0.80002373,0.7832287,1.1206825,315.51797,949.6072,697.02795,0.15711719,298.48553,286.07776,46.099777,4.854468,4.19E-05,0.005437857
2005,3,,,,,29.859688,01-03-2005 00:00,-0.50153846,0.5638255,0.75510514,311.6131,947.47516,901.97095,0.23107946,301.54303,286.34927,39.200428,5.5082207,0.000202542,0.005672249
